district_number,area_name_fa,year_window,window_start,window_end,months_present,price_psm_median_toman,price_psm_p25_toman,price_psm_p75_toman,price_total_median_toman,sample_size_median,sample_size_min,trust_direct_months,trust_modeled_months,confidence,notes
20,منطقه 20,1402 (1401-06..1402-05),1401-06,1402-05,12,31981302.69,24720818.42,39917242.705,2437500000.0,1901.5,219,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
20,منطقه 20,1403 (1402-06..1403-05),1402-06,1403-05,12,51192959.585,41927083.335,60727969.35,3800000000.0,4014.5,3370,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
20,منطقه 20,1404 (1403-06..1404-05),1403-06,1404-05,12,58959863.695,46415387.47,70123068.96000001,4124999936.0,5378.5,3952,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
20,منطقه 20,1405 (1404-06..1405-05),1404-06,1405-05,12,72827868.85,56593420.945,120528769.84,7300000000.0,17.5,1,4,8,"OBSERVED (Kilid listing series), CALCULATED (window median) | contains MODELED months",8_modeled_months_in_window; thin_month_sample:1
21,منطقه 21,1401 (1400-06..1401-05),1400-06,1401-05,12,25358312.86,17991573.035,31436637.619999997,2113750000.0,733.5,530,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
21,منطقه 21,1402 (1401-06..1402-05),1401-06,1402-05,12,32750000.0,23984691.09,41743622.45,3077500000.0,1060.0,87,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
21,منطقه 21,1403 (1402-06..1403-05),1402-06,1403-05,12,52301587.3,30557377.05,67199108.82,4375000000.0,2531.0,2241,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
21,منطقه 21,1404 (1403-06..1404-05),1403-06,1404-05,12,64253600.105000004,40531804.46,79397333.095,4847499936.0,4858.5,2547,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
21,منطقه 21,1405 (1404-06..1405-05),1404-06,1405-05,12,74556197.47999999,44521962.235,103632911.39,5150000000.0,8493.5,4765,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
22,منطقه 22,1401 (1400-06..1401-05),1400-06,1401-05,12,33184523.81,27012578.62,41494490.36,3575500000.0,760.5,630,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
22,منطقه 22,1402 (1401-06..1402-05),1401-06,1402-05,12,46323496.765,27975151.255000003,59000000.0,5100000000.0,4840.5,947,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
22,منطقه 22,1403 (1402-06..1403-05),1402-06,1403-05,12,67739007.57499999,39395161.29,84996167.605,6650000000.0,10949.5,7392,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
22,منطقه 22,1404 (1403-06..1404-05),1403-06,1404-05,12,75565475.05,52000000.0,92610850.86500001,7850000000.0,14324.5,10931,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
22,منطقه 22,1405 (1404-06..1405-05),1404-06,1405-05,12,100004420.87,75000000.0,127406015.03999999,11550000000.0,22183.0,12903,12,0,"OBSERVED (Kilid listing series), CALCULATED (window median)",
